Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2012,"12        ",Male,18,Left-Handed,185,27,186,1,Car,10,.359,47,"Football (American)",400,600,10,100,1000,1000,27,"Same length",80,70,"Index finger",October,Fall,Yes,No,Seafood,Water,History,6,10,3,"Yes - broadband connection","Text messaging",20,20,15,1,5,5,10,5,1,3,10,5,0,0,None,"Graduate degree","Rock and roll",Telepathy,Happy,Friend,"Arts, culture, sports"
USA,CA,2018,"12        ",Female,17,Left-Handed,167,25.3,160,2,Car,5,1.424,71,Soccer,100,1000,400,300,0,200,24.8,"Right foot",71,70,"Ring finger",October,Spring,Yes,No,Pizza/Pasta,Milk,History,6,8,5,"Yes - other","Text messaging",20,20,30,3,10,100,5,0,60,12,3,10,30,20,"A lot","Graduate degree",Pop,Telepathy,Healthy,Relative,"Wildlife, animals"
USA,CA,2019,"12        ",Female,17,Right-Handed,166,24,167,1,Car,5,0.345,"47 ",Walking/Hiking,500,500,600,600,700,800,23,"Right foot",67,67,"Same length",November,Spring,No,No,Pizza/Pasta,Coffee,Science,5,8,3,"Yes - other","Text messaging",6,7,2,1,10,5,0,0,,10,5,0,30,2,"A lot","Undergraduate degree",Other,Fly,Happy,Other,"International aid"
USA,CA,2013,"12        ",Female,17,Right-Handed,162.5,23.36,167.6,1,Car,4,.685,58,Swimming,1000,1000,1000,1000,1000,1000,22.60,"Right foot",83.82,76.2,"Index finger",June,Summer,Yes,No,Salads,Water,Science,8.5,10.5,4,"Yes - other","In person",141,201,40,1,7,7,7,0,3,,,,,,,,,,,,
USA,CA,2014,"12        ",Male,17,Right-Handed,188,,,1,Car,15,.677,51,Basketball,500,500,500,500,800,900,,"Left foot",80,70,"Index finger",April,Summer,No,No,Meat,Milk,History,7,10,4,"Yes - broadband connection","Text messaging",15,40,5,2,8,5,14,5,7,14,14,4,1,3,Some,"Graduate degree","Rock and roll","Freeze time",Happy,"Sports person",Health
USA,CA,2016,"12        ",Female,17,Right-Handed,57,24,149,1,Car,25,46,41,Dancing,900,850,850,900,700,800,24,"Same length",7,6.3,"Index finger",April,Spring,No,No,"No favorite",Water,Science,5,7,5,"Yes - other","Text messaging",50,30,7,3,25,5,2,2,4,5,5,8,0,5,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,Environment
USA,CA,2016,"4         ",Female,8,Right-Handed,116.8,16.51,109.2,3,Walk,2,1,106,Other,1000,100,1000,169,1000,1000,16.51,"Same length",50.8,63.5,"Ring finger",September,Summer,No,No,Desserts,Water,Other,10,13,3,"Yes - other",Telephone,0,0,6,0,1,14,2,5,0,0,1,8,0,1,None,"Graduate degree",Pop,Invisibility,Healthy,Other,Other
USA,CA,2012,"12        ",Male,16,Right-Handed,198,27.5,199,3,Car,10,.315,43,"Football (American)",800,900,800,,1000,1000,28,"Left foot",110,115,"Ring finger",October,Winter,No,No,Meat,Water,"Mathematics and statistics",8,6,3,"Yes - broadband connection","Text messaging",30,30,10,,,,,,,,,,,,,,,,,,
USA,CA,2017,"10        ",Male,16,Right-Handed,130,27,181,1,Car,5,.402,36,Basketball,600,1000,500,800,1000,1000,,,80,85,"Ring finger",January,Summer,Yes,No,Meat,Milk,"Mathematics and statistics",8,8,5,"Yes - broadband connection","Text messaging",4,3,5,0,0,3,8,11,0,0,5,5,1,4,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Other,Health
USA,CA,2020,"12        ",Female,17,Right-Handed,167,25,,2,Walk,3,0.318,36,Walking/Hiking,706,807,600,508,727,909,26,"Left foot",7.4,7.6,"Ring finger",June,Winter,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,9,5,"Yes - broadband connection","Text messaging",244,381,2,.1,20,.5,0,0,15,3,70,0,0,0,Some,"Graduate degree","Rhythm and blues (R&B)",Invisibility,Happy,Other,"International aid"
