Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,PA,2013,12,Male,17.0,Right-Handed,175,26,172,2.0,Car,15,.447,42,Lacrosse,900.0,900.0,800.0,900.0,750.0,900.0,27,Left foot,95,100,Ring finger,October,Fall,Yes,No,Breads/Sandwiches,Water,History,7,10,3.0,Yes - broadband connection,In person,20,21,21,1.0,2.0,2,2,2,2.0,2.0,10.0,6.0,4,2.0,Very little,Undergraduate degree,Rock and roll,Fly,Happy,Sports person,International aid
USA,PA,2018,12,Male,18.0,Right-Handed,175,25,180,1.0,Car,15 ,.39,50,Soccer,400.0,800.0,200.0,200.0,300.0,700.0,25,Same length,70,70,Same length,October,Fall,Yes,No,Poultry,Water,History,8,6,5.0,Yes - other,"Myspace, Facebook, other social networking sites, or blog",30,50,20,1.0,5.0,10,3,4,6.0,2.0,5.0,5.0,20,5.0,Some,Undergraduate degree,Rap/Hip hop,Fly,Happy,Business person,"Wildlife, animals"
USA,PA,2021,12,Female,17.0,Right-Handed,165,27,174cm,2.0,Car,10 ,.764,52,Baseball/Softball,900.0,900.0,900.0,900.0,200.0,400.0,28,Left foot,7,7,Same length,September,Fall,Yes,No,Pizza/Pasta,Water,English,5,5,2.0,Yes - other,Text messaging,50,60,8,,,,,,,,,,,,,,,,,,
USA,PA,2018,12,Male,17.0,Right-Handed,181.6,26,185,1.0,Car,12,.48,52,Baseball/Softball,909.0,866.0,765.0,888.0,332.0,898.0,26,Same length,92,94,Ring finger,June,Fall,No,No,Meat,Milk,Mathematics and statistics,7,9,4.0,Yes - broadband connection,Text messaging,40,50,4,0.0,7.0,8,16,1,4.0,2.0,2.0,2.0,0,0.0,Some,Graduate degree,Country,Telepathy,Happy,Sports person,Health
USA,PA,2023,11,Male,17.0,Right-Handed,180,26,181.5,1.0,Car,12,.326,34,Other,369.0,500.0,300.0,500.0,834.0,900.0,25,Right foot,105,85,Index finger,April,Spring,No,No,Meat,Water,Computers and technology,7.5,10,5.0,Yes - broadband connection,In person,20,20,2,4.0,5.0,2,3-4,2,14.0,14.0,21.0,1.0,20,3.5,Some,Undergraduate degree,Rap/Hip hop,Telepathy,Happy,Musician or singer,Religious
USA,PA,2014,12,Male,17.0,Right-Handed,172,27,175,2.0,Car,8,.303,34,Swimming,400.0,250.0,200.0,300.0,975.0,1000.0,27,Same length,76,78,Ring finger,November,Fall,No,No,Meat,Coffee,Computers and technology,5.5,10,3.0,Yes - broadband connection,In person,14,17,5,0.0,4.0,2,12,1,30.0,1.0,35.0,0.0,2,0.0,Very little,Undergraduate degree,Pop,Freeze time,Happy,Business person,Environment
USA,PA,2019,9,Female,14.0,Right-Handed,167,24,166,2.0,Car,20,.386,39,Soccer,701.0,503.0,262.0,850.0,909.0,1000.0,25,Right foot,9,7 1/2,Index finger,June,Spring,Yes,No,Meat,Juice,Languages,6,8,4.0,Yes - broadband connection,Cell phone,100,150,48,60.0,9.0,20,15,3,35.0,20.0,112.0,10.0,1,2.0,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,"Wildlife, animals"
USA,PA,2010,12,Female,17.0,Right-Handed,157.5,22,161,1.0,Car,10,.359,39,Basketball,500.0,500.0,500.0,,800.0,800.0,22,Same length,70,65,Index finger,November,Fall,No,No,No favorite,Tea,English,5,12,3.0,Yes - broadband connection,Text messaging,200,200,50,0.5,0.0,3,0,0,1.0,20.0,4.0,5.0,0,2.0,Very little,Some college,Pop,Telepathy,Rich,Relative,Health
USA,PA,2020,9,Male,15.0,Left-Handed,,,,1.0,Walk,20,0.22s,50,Skateboarding/Rollerblading,753.0,800.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,PA,2010,12,Male,18.0,Ambidextrous,180,43,181,1.0,Car,7,7,7,Martial Arts,500.0,500.0,881.0,,999.0,998.0,35,Same length,120,121,Index finger,November,Fall,Yes,No,Salads,Soft drink (non-caffeinated),Mathematics and statistics,8,8,8.0,Yes - dial-up connection,E-mail,100,1,10,10.0,12.0,14,9,3,10.0,23.0,34.0,10.0,21,11.0,A lot,Less than high school,Country,Invisibility,Rich,Friend,Environment
USA,PA,2010,11,Male,16.0,Right-Handed,172.7,26,170.2,1.0,Car,10,.312,47,Bowling,800.0,800.0,700.0,,1000.0,900.0,27,Left foot,80,80,Same length,May,Summer,No,No,Meat,Water,Mathematics and statistics,8,6,5.0,Yes - broadband connection,Text messaging,100,105,3,3.0,3.0,8,3,6,2.0,8.0,2.0,2.0,3,2.0,Very little,Graduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Health
USA,PA,2016,12,Female,17.0,Right-Handed,165,22,165,1.0,Car,12,.352,48,Swimming,700.0,700.0,700.0,700.0,700.0,700.0,22,Same length,,,Same length,July,Summer,No,No,Pizza/Pasta,Water,Science,6,7,5.0,Yes - broadband connection,Text messaging,5,5,10,1.0,10.0,10,12,0,8.0,2.0,12.0,8.0,0,5.0,A lot,Graduate degree,Pop,Freeze time,Rich,Relative,"Wildlife, animals"
USA,PA,2016,10,Female,17.0,,62,,,,,15,0.472,40,,,,,,,,,,60.5,50.5,,,,,,,,,8,10,4.0,,,,,,,,,,,,,,,,,,,,,,,
USA,PA,2018,6,Female,12.0,Right-Handed,164,24,159,1.0,Bus,20,0.552,48,Walking/Hiking,8500.0,8000.0,6000.0,9500.0,10.0,5500.0,24,Same length,80,80,Same length,December,Winter,Yes,No,Fruit,Juice,Art,7,9,5.0,Yes - broadband connection,In person,20,15,5,1.0,5.0,14,1,1,0.0,2.0,35.0,30.0,0,3.0,Some,Graduate degree,Pop,Telepathy,Happy,Relative,International aid
USA,PA,2013,12,Male,16.0,Right-Handed,176.5,27.9,182.9,2.0,Bus,12,.342,48,Swimming,300.0,450.0,500.0,300.0,1000.0,1000.0,28.94,Left foot,95.3,95.3,Same length,July,Summer,Yes,No,Meat,Water,Mathematics and statistics,8,10,4.0,Yes - broadband connection,In person,20,20,8,1.0,7.0,6,,,,,,,,,,,,,,,
