Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2018,"12        ",Male,17,Right-Handed,185,29.4,185,2,Car,25,.657,36,Other,1000,1000,1000,1000,1000,1000,28.4,"Right foot",80,85,"Ring finger",April,Summer,No,No,Meat,Water,"Computers and technology",6,5,4,"Yes - broadband connection","Internet chat or instant messaging",50,50,3,1,2,5,1,18,10,4,18,3,4,3,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,Relative,"International aid"
USA,TX,2019,"12        ",Male,16,Right-Handed,175,27,173,2,Car,20,.315,40,Baseball/Softball,850,800,950,750,200,250,27,"Same length",76,101,"Ring finger",February,Fall,No,No,Poultry,Water,Science,8,6,5,"No internet connection","In person",3,0,3,0,8,6,8,6,7,4,14,21,0,3,Some,"Graduate degree",Other,Telepathy,Happy,"Sports person","Wildlife, animals"
USA,TX,2019,"12        ",Male,17,Right-Handed,175,35,78,2,Bus,20,.285,48,Other,1000,900,1000,1000,100,100,35,"Same length",7.4,7.1,"Index finger",September,Spring,Yes,No,Pizza/Pasta,Tea,Other,8,10,4,"Yes - broadband connection","In person",30,29,12,4,11,2,10,0,8,2,14,0,0,3,Some,"Graduate degree",Other,Fly,Rich,"Musician or singer","International aid"
USA,TX,2016,"12        ",Male,17,Right-Handed,177.8,25.7,,2,Car,16,,,Soccer,1000,1000,1000,1000,1000,1000,25.7,"Same length",,,,April,Winter,No,No,Pizza/Pasta,Water,Art,4,6,6,"Yes - broadband connection","Text messaging",,,10,1,5,20,30,0,10,24,0,0,0,20,Some,"Undergraduate degree","Rap/Hip hop","Freeze time",Famous,"Sports person",Health
USA,TX,2015,"4         ",Male,9,Right-Handed,145,24,148,1,Car,5,0.783,72,Swimming,995,995,872,684,610,845,24,"Same length",86,87,"Ring finger",September,Fall,No,No,Pizza/Pasta,Water,"Computers and technology",11,9,4,"Yes - broadband connection","In person",0,0,1,0,0,2,2,1,0,0,1,1,0,1,Some,"Graduate degree",Pop,"Freeze time",Happy,"Religious figure",Religious
USA,TX,2013,"5         ",Female,10,Right-Handed,143,21,140,2,Car,12,0.947,58,Soccer,1000,1000,1000,1000,3,3,22,"Left foot",8,9,"Ring finger",June,Summer,No,No,Fruit,Water,Art,9,11,10,"Yes - other",Telephone,0,0,1,3,1,2,1,1,0,0,2,2,0,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Musician or singer",Health
USA,TX,2018,"12        ",Male,17,Right-Handed,164,22,161,2,Bus,20,0.372,60,Running/Jogging,500,500,500,600,700,800,22,"Same length",75,77,"Ring finger",April,Fall,Yes,No,Meat,Water,History,8,12,4,"Yes - broadband connection","Text messaging",0,0,12,0,5,5,5,6,0,3,7,0,0,4,"A lot","Graduate degree",Jazz,Invisibility,Happy,Relative,Health
USA,TX,2013,"12        ",Male,16,Left-Handed,650,111,400,2,Car,10,.359,42,None,722,497,658,632,439,527,120,"Right foot",36,34,"Ring finger",February,Fall,No,No,Pizza/Pasta,Water,Art,6,7,5,"Yes - broadband connection","Text messaging",100,100,5,0,1,,10,1,7,7,15,0,30,10,"A lot","Graduate degree","Rock and roll",Fly,Happy,"Doctor or nurse",Health
USA,TX,2014,"7         ",Male,12,Left-Handed,165,24,165,2,Bus,30,0.442,48,Soccer,800,900,600,700,600,700,23,"Right foot",70,70,"Same length",May,Summer,No,No,Fruit,"Soft drink (caffeinated)",Music,8,3,6,,"Myspace, Facebook, other social networking sites, or blog",47,40,72,0,15,10,5,5,10,15,24,3,2,3,Some,"Graduate degree",Techno/Electronic,Fly,Happy,Friend,"International aid"
USA,TX,2014,"6         ",Female,12,Right-Handed,167,25,169,1,Bus,45,0.484,48,Basketball,476,476,476,476,476,476,23,"Right foot",8,7,"Index finger",December,Winter,No,No,Pizza/Pasta,"Soft drink (caffeinated)","Social studies",9,,10,"Yes - other","Internet chat or instant messaging",0,0,1,1,0,12,1,2,1,2,2,2,0,1,"A lot","Undergraduate degree",Gospel,"Freeze time",Healthy,Friend,"International aid"
